"AREA","INDICADOR","REGIAO","COD_IBGE","MICROREGIAO","2009","2011","2013","2015","2017","2019"
"Educação","TX_INEP_IDEB_AI_MUN","Roraima",1400472,"Rorainópolis",4.1,4.1,4.2,4.2,4.5,4.7
"Educação","TX_INEP_IDEB_AI_MUN","Roraima",1400506,"São João da Baliza",4,3.7,4.1,4.3,4.2,4.9
"Educação","TX_INEP_IDEB_AI_MUN","Roraima",1400605,"São Luiz",4.4,4.4,4.4,4.6,4.2,4.9
"Educação","TX_INEP_IDEB_AI_MUN","Roraima",1400704,"Uiramutã",3.3,3.6,3.6,NA,4.2,NA
"Educação","TX_INEP_IDEB_AI_MUN","Pará",1500107,"Abaetetuba",3.6,3.9,4,4.4,4.6,4.7
"Educação","TX_INEP_IDEB_AI_MUN","Pará",1500131,"Abel Figueiredo",3.5,4.1,4.2,4.7,5.1,5.1
"Educação","TX_INEP_IDEB_AI_MUN","Pará",1500206,"Acará",3.6,3.8,3.5,3.6,3.7,3.8
"Educação","TX_INEP_IDEB_AI_MUN","Pará",1500305,"Afuá",3,3.4,2.7,3.2,3.3,3.5
"Educação","TX_INEP_IDEB_AI_MUN","Pará",1500347,"Água Azul do Norte",3.1,3.9,3.5,3.9,3.5,4
"Educação","TX_INEP_IDEB_AI_MUN","Pará",1500404,"Alenquer",3.1,4,3.4,3.8,4,4.3
"Educação","TX_INEP_IDEB_AI_MUN","Pará",1500503,"Almeirim",2.9,3.6,3.2,3.6,3.6,3.6
"Educação","TX_INEP_IDEB_AI_MUN","Pará",1500602,"Altamira",4.7,4.8,4.5,5.2,5.5,5.7
"Educação","TX_INEP_IDEB_AI_MUN","Pará",1500701,"Anajás",2.6,3.4,2.5,3.3,3.3,3.4
"Educação","TX_INEP_IDEB_AI_MUN","Pará",1500800,"Ananindeua",4,4.2,4,4.7,5,5.3
"Educação","TX_INEP_IDEB_AI_MUN","Pará",1500859,"Anapu",3,3.9,3.4,4.1,4.2,4.2
"Educação","TX_INEP_IDEB_AI_MUN","Pará",1500909,"Augusto Corrêa",3.5,3.6,3.4,3.8,4,4.2
"Educação","TX_INEP_IDEB_AI_MUN","Pará",1500958,"Aurora do Pará",2.9,3.6,3.3,4.3,4.6,4.8
"Educação","TX_INEP_IDEB_AI_MUN","Pará",1501006,"Aveiro",2.6,3.6,4.1,4,3.6,4.4
"Educação","TX_INEP_IDEB_AI_MUN","Pará",1501105,"Bagre",2.5,3.7,3.3,3.8,3.9,3.7
"Educação","TX_INEP_IDEB_AI_MUN","Pará",1501204,"Baião",2.9,3.4,3.2,3.4,3.9,NA
"Educação","TX_INEP_IDEB_AI_MUN","Pará",1501253,"Bannach",4,4.3,3.7,3.9,4,4.5
"Educação","TX_INEP_IDEB_AI_MUN","Pará",1501303,"Barcarena",3.3,3.7,3.3,3.8,4.1,4.4
"Educação","TX_INEP_IDEB_AI_MUN","Pará",1501402,"Belém",3.8,4.2,3.9,4.4,4.8,5.2
"Educação","TX_INEP_IDEB_AI_MUN","Pará",1501451,"Belterra",3.2,3.9,4.5,4.7,4.6,5.1
"Educação","TX_INEP_IDEB_AI_MUN","Pará",1501501,"Benevides",3.7,4,4.2,5.4,6.2,6.2
"Educação","TX_INEP_IDEB_AI_MUN","Pará",1501576,"Bom Jesus do Tocantins",3.5,3.6,4.3,5,4.7,5
"Educação","TX_INEP_IDEB_AI_MUN","Pará",1501600,"Bonito",2.6,NA,2.8,3.1,4,4.3
"Educação","TX_INEP_IDEB_AI_MUN","Pará",1501709,"Bragança",3.4,3.8,3.4,3.9,4.1,4.4
"Educação","TX_INEP_IDEB_AI_MUN","Pará",1501725,"Brasil Novo",3.8,4.3,4.7,5.5,5.3,5.6
"Educação","TX_INEP_IDEB_AI_MUN","Pará",1501758,"Brejo Grande do Araguaia",3.1,3.7,4,4.5,4.4,3.9
"Educação","TX_INEP_IDEB_AI_MUN","Pará",1501782,"Breu Branco",3.3,4.1,3.6,3.9,4.4,4.4
"Educação","TX_INEP_IDEB_AI_MUN","Pará",1501808,"Breves",2.7,3.9,2.9,3.3,3.5,3.6
"Educação","TX_INEP_IDEB_AI_MUN","Pará",1501907,"Bujaru",3,3.3,3.9,3.8,4,4.2
"Educação","TX_INEP_IDEB_AI_MUN","Pará",1501956,"Cachoeira do Piriá",2.9,4.1,3,3.4,3.5,3.9
"Educação","TX_INEP_IDEB_AI_MUN","Pará",1502004,"Cachoeira do Arari",3.1,3.2,3.1,3.6,3.9,3.9
"Educação","TX_INEP_IDEB_AI_MUN","Pará",1502103,"Cametá",2.7,3.4,3.7,3.9,3.8,3.7
"Educação","TX_INEP_IDEB_AI_MUN","Pará",1502152,"Canaã dos Carajás",3.7,4,4.2,4.7,5,5.1
"Educação","TX_INEP_IDEB_AI_MUN","Pará",1502202,"Capanema",3.6,3.8,3.5,4.1,4.4,4.8
"Educação","TX_INEP_IDEB_AI_MUN","Pará",1502301,"Capitão Poço",3,3.7,2.9,3.7,3.6,4.2
"Educação","TX_INEP_IDEB_AI_MUN","Pará",1502400,"Castanhal",3.7,3.9,3.9,4.6,4.7,4.8
"Educação","TX_INEP_IDEB_AI_MUN","Pará",1502509,"Chaves",1.4,3.4,2.9,3.6,3.3,3.1
"Educação","TX_INEP_IDEB_AI_MUN","Pará",1502608,"Colares",3.9,3.8,3.9,4.3,4.4,4.8
"Educação","TX_INEP_IDEB_AI_MUN","Pará",1502707,"Conceição do Araguaia",3.4,4.3,3.8,4.3,4.5,4.6
"Educação","TX_INEP_IDEB_AI_MUN","Pará",1502756,"Concórdia do Pará",3.5,3.6,3.1,4.1,3.8,3.7
"Educação","TX_INEP_IDEB_AI_MUN","Pará",1502764,"Cumaru do Norte",3.2,3.8,3.3,3.7,3.9,NA
"Educação","TX_INEP_IDEB_AI_MUN","Pará",1502772,"Curionópolis",3.7,4,3.9,5,5.3,5.4
"Educação","TX_INEP_IDEB_AI_MUN","Pará",1502806,"Curralinho",2.5,3,2.6,3.3,3.1,NA
"Educação","TX_INEP_IDEB_AI_MUN","Pará",1502855,"Curuá",3.2,3.4,3.5,4.5,3.8,4.1
"Educação","TX_INEP_IDEB_AI_MUN","Pará",1502905,"Curuçá",3.3,3.7,3.1,3.6,3.8,4.2
"Educação","TX_INEP_IDEB_AI_MUN","Pará",1502939,"Dom Eliseu",4,5.2,4.6,5.9,5.4,5.6
"Educação","TX_INEP_IDEB_AI_MUN","Pará",1502954,"Eldorado do Carajás",3.5,4.5,3.9,4.3,4.4,4.6
"Educação","TX_INEP_IDEB_AI_MUN","Pará",1503002,"Faro",3.3,4,3.5,3.8,4.1,4.3
"Educação","TX_INEP_IDEB_AI_MUN","Pará",1503044,"Floresta do Araguaia",3.6,3.9,3.5,4,4.3,4.5
"Educação","TX_INEP_IDEB_AI_MUN","Pará",1503077,"Garrafão do Norte",2.7,3.3,2.8,3.7,3.7,4.4
"Educação","TX_INEP_IDEB_AI_MUN","Pará",1503093,"Goianésia do Pará",3.4,3.7,3.8,4.4,4.5,4.5
"Educação","TX_INEP_IDEB_AI_MUN","Pará",1503101,"Gurupá",3,4.1,2.8,3.4,3.3,3.5
"Educação","TX_INEP_IDEB_AI_MUN","Pará",1503200,"Igarapé-Açu",3.1,NA,3.1,3.5,3.7,4
"Educação","TX_INEP_IDEB_AI_MUN","Pará",1503309,"Igarapé-Miri",3.2,3.7,3.3,3.9,3.8,4
"Educação","TX_INEP_IDEB_AI_MUN","Pará",1503408,"Inhangapi",3.5,3.3,3,3.7,4.6,4.3
"Educação","TX_INEP_IDEB_AI_MUN","Pará",1503457,"Ipixuna do Pará",3.4,3.9,3.1,4.5,4.5,4.5
"Educação","TX_INEP_IDEB_AI_MUN","Pará",1503507,"Irituia",3.3,3.9,3.4,3.9,4.1,4.3
"Educação","TX_INEP_IDEB_AI_MUN","Pará",1503606,"Itaituba",3.5,3.5,3.8,4.3,4.8,4.6
"Educação","TX_INEP_IDEB_AI_MUN","Pará",1503705,"Itupiranga",3,3.6,2.7,3.5,3.9,4.2
"Educação","TX_INEP_IDEB_AI_MUN","Pará",1503754,"Jacareacanga",2.8,3.3,3.2,3.7,3.8,3.5
"Educação","TX_INEP_IDEB_AI_MUN","Pará",1503804,"Jacundá",3.2,3.8,4.1,4.4,4.3,4.5
