"","AREA","INDICADOR","REGIAO","COD_IBGE","MICROREGIAO","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"102","Economia","TX_IBGE_PIB_PC_MUN","Amazonas",1301852,"Iranduba",17577.3,17501.1,17443.97,15918.96,17315.06,17312.14,17030.31,16789.29,15622.28,14334.61,14857.91
"103","Economia","TX_IBGE_PIB_PC_MUN","Amazonas",1301902,"Itacoatiara",19168.28,18925.82,18565.78,21002.09,22878.2,22906.27,22584.28,22298.74,20779.67,19093.53,19817.08
"104","Economia","TX_IBGE_PIB_PC_MUN","Amazonas",1301951,"Itamarati",9521.55,9497.59,9502.33,10752.2,11906.72,12110.4,12256.86,12326.65,11692.95,10931.66,11536.91
"105","Economia","TX_IBGE_PIB_PC_MUN","Amazonas",1302009,"Itapiranga",9652.95,9504.41,9274.88,12075.12,13212.47,13285.69,13192.57,13089.9,12254.56,11310.38,11789.15
"106","Economia","TX_IBGE_PIB_PC_MUN","Amazonas",1302108,"Japurá",9624.13,10366.26,12269.26,7795.51,8530.29,8577.31,10960.57,11936.57,12330.95,12638.16,14735.79
"107","Economia","TX_IBGE_PIB_PC_MUN","Amazonas",1302207,"Juruá",9447.86,9282.12,9022.74,8509.04,9116.43,8988.27,8648.14,8398.77,7706.47,6979.29,7145.82
"108","Economia","TX_IBGE_PIB_PC_MUN","Amazonas",1302306,"Jutaí",10452.46,10584.16,10908.76,11181.62,12235.07,12302.07,13516.79,13867.61,13422.94,12806.41,13794.17
"109","Economia","TX_IBGE_PIB_PC_MUN","Amazonas",1302405,"Lábrea",10999.41,10821.16,10543.48,12099.92,13118.64,13076.9,12802.1,12579.07,11668.03,10674.33,11033.01
"110","Economia","TX_IBGE_PIB_PC_MUN","Amazonas",1302504,"Manacapuru",15198.75,15034.65,14800.66,16510.12,18020.88,18076.89,17877.6,17688.99,16517.04,15206.09,15811.37
"111","Economia","TX_IBGE_PIB_PC_MUN","Amazonas",1302553,"Manaquiri",10097.66,9869.59,9501.54,9536.45,10177.7,9999.24,9568.47,9259.81,8468.42,7645.95,7806.3
"112","Economia","TX_IBGE_PIB_PC_MUN","Amazonas",1302603,"Manaus",36464.53,36007.69,35330.58,37439.92,40629.95,40535.01,39736.53,39080.07,36281.69,33219.53,34362.71
"113","Economia","TX_IBGE_PIB_PC_MUN","Amazonas",1302702,"Manicoré",9177,9064.2,8897.65,9721.83,10573.05,10570.1,10395.91,10247.34,9533.93,8746.88,9065.26
"114","Economia","TX_IBGE_PIB_PC_MUN","Amazonas",1302801,"Maraã",7228.44,7185.14,7139.05,8112.56,8934.51,9039.73,9066.53,9060.05,8541,7936.28,8325.67
"115","Economia","TX_IBGE_PIB_PC_MUN","Amazonas",1302900,"Maués",8005.28,7904.03,7753.57,8096.98,8777.71,8748.7,8563.18,8412.85,7802.68,7137.38,7376.44
"116","Economia","TX_IBGE_PIB_PC_MUN","Amazonas",1303007,"Nhamundá",6639.59,6563.71,6454.06,7164.7,7810.22,7825.28,7724.6,7632.81,7118.2,6545.19,6797.77
"117","Economia","TX_IBGE_PIB_PC_MUN","Amazonas",1303106,"Nova Olinda do Norte",6580.99,6484.22,6335.89,7030.53,7625.17,7603.6,7447.67,7320.73,6792.81,6216.49,6427.27
"118","Economia","TX_IBGE_PIB_PC_MUN","Amazonas",1303205,"Novo Airão",7374.27,7206.64,6935.18,8233.81,8851.68,8754.93,8464.98,8248.45,7591.28,6894.23,7076.83
"119","Economia","TX_IBGE_PIB_PC_MUN","Amazonas",1303304,"Novo Aripuanã",8250.4,8185.89,8103.97,7863.89,8545.28,8535.99,8385.23,8258,7676.96,7037.69,7288.39
"120","Economia","TX_IBGE_PIB_PC_MUN","Amazonas",1303403,"Parintins",8778.29,8682.21,8544.8,9864.86,10789.49,10844.16,10758.42,10668.36,9982.59,9208.82,9593.89
